"siteName","stateCode","siteVisitName","latitude_Degree","longitude_Degree","siteVisitStartDate","unique_species_count","precipitationAnnualMean_millimetre","solarRadiationMean_megajoulePerSquareMetre","maximumTemperature_degreeCelsius","minimumTemperature_degreeCelsius","temperatureAnnualMean_degreeCelsius","climaticCondition","average_soil_pH_unitless","average_soil_EC_dSPerMetre","soil_texture_Grade"
"NSABHC0013","NSW",20120920,-31.32392,141.6008,2012-09-20,31,217.013,20.5707,39.6239,1.45875,18.805,NA,NA,NA,NA
"NSABHC0014","NSW",20120921,-31.33115,141.5915,2012-09-21,26,220.428,20.5465,39.4093,1.36737,18.6134,NA,NA,NA,NA
"NSABHC0015","NSW",20130205,-31.83394,141.0592,2013-02-05,30,201.12,20.3916,39.4926,1.78057,18.8759,"DRY",7.76,0.138,NA
"NSABHC0016","NSW",20131206,-31.83403,141.0614,2013-12-06,18,201.391,20.3882,39.4839,1.78025,18.8713,"DRY",8.3,0.163,NA
"NSABHC0017","NSW",20130207,-31.84331,141.1926,2013-02-07,23,215.329,20.306,39.1453,1.6763,18.6073,"DRY",9.12,0.075,NA
"NSABHC0018","NSW",20130313,-32.24909,142.0537,2013-03-13 13:40:00,15,217.98,20.1669,39.6791,1.75857,18.9468,"DRY",7.95,0.166,NA
"NSABHC0019","NSW",20130313,-32.51485,141.5496,2013-03-13 13:43:00,21,215.5,20.0207,39.1597,1.85586,18.6159,"DRY",7.76,0.1,NA
"NSABHC0020","NSW",20130314,-32.26481,141.5007,2013-03-14,23,221.71,20.1051,39.0239,1.7776,18.547,"WET",8.16,0.142,NA
"NSABHC0021","NSW",20140419,-32.12007,141.8683,2014-04-19,41,215.448,20.2049,39.5188,1.78752,18.8855,"WET",8.8,0.164,NA
"NSABHC0022","NSW",20140419,-30.66608,142.4724,2014-04-19,22,228.206,20.971,41.4933,2.13124,20.0898,"DRY",7.87,0.258,NA
"NSABHC0023","NSW",20140421,-31.34395,142.1366,2014-04-21,36,213.604,20.6834,40.7356,1.89092,19.6545,"WET",7.5,0.116,NA
"NSABHC0024","NSW",20140422,-31.34679,142.1485,2014-04-22,43,214.23,20.6825,40.7332,1.88757,19.6478,"WET",7.6,0.097,NA
"NSABHC0025","NSW",20140602,-32.42053,141.5354,2014-06-02,27,213.891,20.0527,39.0958,1.8141,18.5752,"WET",NA,NA,NA
"NSABHC0026","NSW",20140604,-31.77803,142.268,2014-06-04,51,211.312,20.4453,40.277,1.77454,19.2942,"WET",7.3,0.122,NA
"NSABHC0028","NSW",20160912,-31.06598,141.7173,2016-09-12 13:10:42,25,207.887,20.7791,40.4762,1.66368,19.4571,"WET",NA,NA,NA
"NSABHC0029","NSW",20160912,-31.06217,141.6694,2016-09-12 15:35:12,25,209.258,20.7734,40.4079,1.64477,19.4069,"WET",NA,NA,NA
"NSACHC0001","NSW",20180417,-29.44539,142.2648,2018-04-17 09:44:11,11,205.559,21.4631,42.555,2.86522,21.2255,"DRY",6.52,0.478,"Loamy sand"
"NSACHC0002","NSW",20180417,-29.30673,142.1806,2018-04-17 14:04:50,16,204.114,21.5256,42.7143,3.01255,21.4321,"DRY",8.194,0.2738,"Clayey sand"
"NSACHC0003","NSW",20180418,-29.21309,141.8955,2018-04-18 11:15:14,9,192.367,21.5776,42.5043,2.98007,21.3042,"DRY",7.15571428571429,0.0528571428571429,"Silty loam"
"NSACHC0004","NSW",20180418,-29.06618,141.8645,2018-04-18 15:51:01,10,199.929,21.6065,42.1433,2.85778,21.0319,"DRY",7.10333333333333,0.0713333333333333,"Loamy sand"
"NSACOP0001","NSW",20180410,-32.59106,145.5407,2018-04-10 11:32:44,8,338.554,19.7368,40.4823,1.65725,18.3343,"DRY",6.48833333333333,0.0578333333333333,"Clayey sand"
"NSACOP0002","NSW",20180411,-32.60452,145.6653,2018-04-11 15:01:29,12,354.931,19.6684,40.1867,1.54292,18.0401,"DRY",5.5325,0.039,"Clayey sand& Loam"
"NSAMDD0001","NSW",20140527,-34.18392,142.5602,2014-05-27,21,280.361,19.0897,38.2102,1.38992,17.4217,"WET",9.34,0.53,"Clayey sand& Sandy loam"
"NSAMDD0002","NSW",20140528,-34.20482,142.6026,2014-05-28,15,281.227,19.0866,38.1501,1.30342,17.349,"WET",9.15,0.605,"Sand"
"NSAMDD0003","NSW",20140528,-34.20754,142.6041,2014-05-28,17,281.227,19.0866,38.1501,1.30342,17.349,"WET",9.175,0.295,"Sandy loam"
"NSAMDD0004","NSW",20140529,-34.16537,142.5594,2014-05-29,25,280.82,19.0945,38.1919,1.39646,17.4084,"WET",9.425,0.74,"Clayey sand& Sandy clay loam"
"NSAMDD0005","NSW",20140530,-33.65619,143.2039,2014-05-30,26,277.165,19.5117,38.9851,1.23404,17.9029,"WET",9,0.2475,"Sand"
"NSAMDD0006","NSW",20140530,-33.66432,143.1665,2014-05-30,21,275.451,19.5096,39.0538,1.28172,17.9725,"WET",9,1.23,"Sand"
"NSAMDD0007","NSW",20140530,-33.37998,141.1608,2014-05-30,21,238.899,19.4655,38.3894,2.0626,17.9716,"WET",8.96666666666667,0.13,"Sand"
"NSAMDD0008","NSW",20140601,-33.43096,141.072,2014-06-01,24,244.062,19.4083,38.2318,2.0423,17.8512,"WET",9.26666666666667,1.32666666666667,"Sandy loam"
"NSAMDD0009","NSW",20140601,-33.44049,141.0655,2014-06-01,18,243.216,19.403,38.2428,2.058,17.866,"WET",9,1.0825,"Sandy clay loam"
"NSAMDD0010","NSW",20140602,-33.4076,141.2935,2014-06-02,18,243.543,19.4468,38.5254,2.16439,18.0994,"WET",8.775,0.1,"Sandy loam"
"NSAMDD0011","NSW",20140602,-33.43882,141.0127,2014-06-02,11,237.984,19.4215,38.3292,2.07229,17.9398,"WET",8.73333333333333,0.33,"Sand"
"NSAMDD0012","NSW",20140603,-33.26316,141.2662,2014-06-03,2,230.021,19.5685,38.732,2.11128,18.247,"WET",4.65,3.1,"Sand"
"NSAMDD0013","NSW",20140604,-33.23765,141.1065,2014-06-04 12:00:00,30,235.989,19.5699,38.5085,1.95889,18.0366,"WET",7.06666666666667,0.04,"Sand"
"NSAMDD0014","NSW",20140604,-33.16794,141.1918,2014-06-04,15,235.289,19.6169,38.5506,1.92581,18.0606,"WET",8.8,0.11,"Sand"
"NSAMDD0015","NSW",20140605,-33.31182,141.0901,2014-06-05,22,234.757,19.5165,38.4797,2.02491,18.0314,"WET",NA,NA,"Sandy loam"
"NSAMDD0016","NSW",20140605,-33.28229,141.0898,2014-06-05,33,235.645,19.5384,38.5186,2.01052,18.0589,"WET",9.525,0.1675,"Clayey sand& Loamy sand& Sandy clay loam& Sandy loam"
"NSAMDD0017","NSW",20140806,-33.66876,145.5664,2014-08-06,27,362.054,19.2288,39.6786,0.865794,17.7016,"DRY",8.58,0.523,NA
"NSAMDD0018","NSW",20140806,-33.56723,145.784,2014-08-06 14:33:43,40,373.603,19.2259,39.7909,0.89332,17.7024,"DRY",7.64,0.202,"Clay loam sandy& Clayey sand"
"NSAMDD0019","NSW",20140807,-33.19215,145.6994,2014-08-07 11:05:01,22,368.945,19.4401,40.2243,1.34607,18.1091,"DRY",7.88,0.028,"Sandy clay loam"
"NSAMDD0020","NSW",20140807,-33.2068,145.7086,2014-08-07 16:29:11,27,370.524,19.4323,40.2136,1.33414,18.0966,"DRY",7.76666666666667,0.0116666666666667,NA
"NSAMDD0021","NSW",20140808,-33.20084,145.7172,2014-08-08 12:29:16,30,371.152,19.4297,40.2121,1.33249,18.0915,"DRY",6.6,0.41,"Sandy loam"
"NSAMDD0022","NSW",20140809,-33.22522,145.7602,2014-08-09 08:19:04,23,376.191,19.4045,40.1653,1.29223,18.0317,"DRY",6.96,0.238,"Sandy clay loam& Sandy loam"
"NSAMDD0023","NSW",20140810,-32.69009,144.6498,2014-08-10 08:59:38,33,294.835,19.8757,40.5779,1.62425,18.7561,"DRY",7.44,1.429,NA
"NSAMDD0024","NSW",20140810,-32.68221,144.6275,2014-08-10 14:05:25,19,293.817,19.8848,40.6119,1.64028,18.7931,"DRY",NA,NA,NA
"NSAMDD0025","NSW",20140812,-31.60859,144.247,2014-08-12,17,260.766,20.4152,41.7923,1.95445,19.6733,"DRY",7,0.0675,NA
"NSAMDD0026","NSW",20140812,-31.62801,144.2012,2014-08-12 14:26:59,11,259.24,20.4116,41.771,1.946,19.6695,"DRY",7.6,0.0625,"Sandy clay loam"
"NSAMDD0027","NSW",20140813,-31.48692,144.1896,2014-08-13 09:26:55,18,270.15,20.44,41.5582,1.81652,19.4555,"DRY",5.15,0.025,"Loamy sand& Sandy loam"
"NSAMDD0028","NSW",20140813,-31.49144,144.1828,2014-08-13 15:02:08,24,270.511,20.427,41.4164,1.74934,19.3262,"DRY",6.275,0.035,"Sandy loam"
"NSAMDD0029","NSW",20140814,-31.33252,144.367,2014-08-14 10:39:55,26,265.909,20.5045,42.0659,2.04843,19.8565,"DRY",7.45,0.1575,"Clay loam sandy& Loamy sand& Sandy clay loam& Sandy loam"
"NSAMDD0030","NSW",20140814,-31.31793,144.3638,2014-08-14 14:47:24,27,266.211,20.5111,42.0726,2.04853,19.8613,"DRY",7.7,0.435,"Clay loam sandy"
"NSAMDD0031","NSW",20180411,-32.58627,145.4922,2018-04-11 10:34:32,19,330.914,19.7602,40.4988,1.65467,18.3596,"DRY",6.035,0.2685,"Clayey sand& Loamy sand"
"NSAMDD0032","NSW",20180412,-32.74325,145.4209,2018-04-12 09:18:03,19,341.417,19.6903,40.3258,1.54301,18.238,"DRY",7.71714285714286,0.077,"Clayey sand"
"NSAMUL0001","NSW",20180414,-29.24619,145.0093,2018-04-14 09:11:07,9,287.234,21.197,42.4576,2.25892,20.9942,"WET",6.69,0.121333333333333,"Clayey sand"
"NSAMUL0002","NSW",20180414,-29.21015,145.0424,2018-04-14 15:09:46,18,288.524,21.1997,42.4382,2.2695,21.0178,"WET",6.715,0.57025,"Clayey sand& Sandy loam"
"NSAMUL0003","NSW",20180415,-29.18589,145.0571,2018-04-15 10:29:41,17,289.085,21.2079,42.437,2.2828,21.0486,"WET",7.96,0.667,"Clayey sand& Loam"
"NSAMUL0004","NSW",20180415,-29.16999,145.0669,2018-04-15 14:47:42,9,289.99,21.2117,42.4207,2.28504,21.0559,"WET",5.32,0.06,"Sandy loam"
"NSANAN0001","NSW",20180516,-30.28374,150.1527,2018-05-16 14:53:06,25,1054.94,18.912,31.7172,-3.49087,12.6575,"DRY",6.04,0.013,"Clay loam"
"NSANAN0002","NSW",20180516,-30.28228,150.1521,2018-05-16 14:46:51,21,1054.94,18.912,31.7172,-3.49087,12.6575,"DRY",6.38,0.024,"Clayey sand"
"NSANET0001","NSW",20180518,-29.25648,151.7079,2018-05-18 09:05:18,45,805.989,18.7652,30.7544,-3.33113,14.0748,"DRY",5.518,0.007,"Clayey sand"
"NSANET0002","NSW",20190313,-30.40673,151.6358,2019-03-13 11:05:34,14,771.419,18.4864,29.4942,-3.69441,12.0618,"DRY",5.7,0.0168,"Loam& Sandy clay loam"
"NSANET0003","NSW",20190314,-30.40192,151.6237,2019-03-14 09:10:27,20,779.953,18.5167,29.9542,-3.68269,12.3629,"DRY",6.0375,0.014375,"Sandy loam"
"NSANET0004","NSW",20190314,-30.41821,151.6109,2019-03-14 16:06:37,19,780.877,18.5792,30.8376,-3.65889,12.9462,"DRY",5.725,0.02075,"Sandy loam"
"NSANSS0001","NSW",20180509,-32.74986,148.3477,2018-05-09 15:45:00,23,661.977,18.6641,37.0404,0.315736,15.6702,"DRY",5.6825,0.13975,"Clay loam"
"NSANSS0002","NSW",20180509,-32.83523,148.324,2018-05-09 15:24:22,33,611.226,18.7387,38.1295,0.973762,16.6115,"DRY",5.54333333333333,0.019,"Sandy loam"
"NSTNSS0001","NSW",20151118,-33.08391,150.2281,2015-11-18 12:04:14,15,592.906,18.1002,34.1082,-0.515112,15.796,"WET",5.6,0.34,"Medium heavy clay"
"NSTSYB0001","NSW",20151111,-33.67334,151.135,2015-11-11 12:11:06,60,1175.1,17.0332,30.7557,3.28642,17.3174,"WET",4.63333333333333,0.0166666666666667,"Sand"
"NSTSYB0002","NSW",20151112,-33.59471,150.6259,2015-11-12 11:50:49,52,1058.71,17.2648,32.3515,1.78148,16.4138,"WET",NA,NA,"Loamy sand"
"NSTSYB0003","NSW",20151114,-33.52669,150.5658,2015-11-14 11:47:52,48,1251.02,17.0812,31.6061,1.41078,15.4806,"WET",4.73333333333333,0.103333333333333,"Light medium clay& Sandy clay loam& Sandy loam"
"NSTSYB0004","NSW",20151115,-33.70502,150.4564,2015-11-15 13:42:38,64,1381.45,16.9121,30.6796,0.971766,14.4394,"WET",4.875,0,"Sand"
"NSTSYB0005","NSW",20151117,-33.64791,150.3192,2015-11-17 11:33:02,45,1223.24,16.795,28.6827,-0.239763,12.2799,"WET",5.175,0,"Sand"
"NSTSYB0006","NSW",20151119,-33.31101,150.2512,2015-11-19 09:36:46,35,916.055,17.1577,29.3823,-1.15842,12.0495,"WET",4.8,0.0325,"Loamy sand"
"NSTSYB0007","NSW",20151120,-33.32937,150.1397,2015-11-20 09:31:17,36,797.427,17.259,29.6091,-1.54158,11.8447,"WET",5.05,0.02,"Clayey sand"
"NSTSYB0008","NSW",20151121,-33.22035,150.0272,2015-11-21 13:03:00,31,724.183,17.6168,31.214,-1.32458,12.8321,"WET",4.93333333333333,0.0166666666666667,"Sandy clay loam"
"NSTSYB0009","NSW",20151120,-33.57883,150.3646,2015-11-20,66,1228.27,16.8944,29.5428,0.147416,13.0942,"WET",4.95,0,"Sand"
"NTAARP0001","NT",20160602,-13.55729,132.2701,2016-06-02 08:52:59,62,1309.32,21.7361,38.1499,12.3916,26.9348,"DRY",5.975,0,"Sand"
"NTAARP0002","NT",20160602,-13.54561,132.2944,2016-06-02 17:24:35,53,1305.45,21.7435,38.2842,12.4503,27.0557,"DRY",5.13333333333333,0.0833333333333333,"Loamy sand"
"NTAARP0003","NT",20160603,-13.51697,132.4571,2016-06-03 14:50:55,28,1265.28,21.8145,39.2932,12.7896,27.8631,"DRY",5.56666666666667,0.08,"Clayey sand& Loamy sand& Sand"
"NTAARP0004","NT",20180304,-12.69178,132.9865,2018-03-04,61,1396.18,21.6214,39.2876,14.6402,28.2753,"DRY",NA,NA,NA
"NTAARP0004","NT",20210606,-12.69178,132.9865,2021-06-06,47,1396.18,21.6214,39.2876,14.6402,28.2753,"DRY",5.225,0.013,"Clayey sand"
"NTAARP0005","NT",20180323,-12.72723,132.985,2018-03-23,41,1393.13,21.6252,39.2544,14.5515,28.2277,"DRY",NA,NA,NA
"NTAARP0005","NT",20210604,-12.72723,132.985,2021-06-04,45,1393.13,21.6252,39.2544,14.5515,28.2277,"DRY",5.32,0.0082,"Clayey sand& Sandy clay loam"
"NTABRT0001","NT",20120319,-22.2836,133.2473,2012-03-19,28,296.494,22.9192,41.7566,2.66355,22.6147,"WET",5.55,NA,"Clayey sand"
"NTABRT0001","NT",20200801,-22.2836,133.2473,2020-08-01 12:21:49,34,296.494,22.9192,41.7566,2.66355,22.6147,"DRY",5.57,0.024,"Sandy clay loam"
"NTABRT0002","NT",20120321,-22.28367,133.2506,2012-03-21 12:00:00,25,296.611,22.9183,41.7551,2.65506,22.6089,"WET",5.86666666666667,0.086,"Sandy loam"
"NTABRT0002","NT",20200731,-22.28367,133.2506,2020-07-31 15:47:57,34,296.611,22.9183,41.7551,2.65506,22.6089,"DRY",4.82,0.0187,"Sandy loam"
"NTABRT0003","NT",20120322,-22.28358,133.2699,2012-03-22,24,296.575,22.9177,41.7548,2.64707,22.6043,"WET",5.63333333333333,NA,"Clayey sand"
"NTABRT0003","NT",20200801,-22.28358,133.2699,2020-08-01 16:58:47,31,296.575,22.9177,41.7548,2.64707,22.6043,"DRY",5.19,0.0196,"Sandy clay loam"
"NTABRT0004","NT",20120323,-22.28981,133.6164,2012-03-23 12:00:00,24,283.691,22.9152,41.989,2.48771,22.688,"WET",6.2,NA,"Clayey sand"
"NTABRT0004","NT",20200808,-22.28981,133.6164,2020-08-08 18:45:56,33,283.691,22.9152,41.989,2.48771,22.688,"DRY",5.81,0.0151,"Clay loam sandy"
"NTABRT0005","NT",20120324,-22.29108,133.6121,2012-03-24,21,284.174,22.9136,41.9883,2.45729,22.669,"WET",6.725,NA,"Clayey sand"
"NTABRT0005","NT",20200802,-22.29108,133.6121,2020-08-02 12:02:00,33,284.174,22.9136,41.9883,2.45729,22.669,"DRY",6.28,0.0125,"Sandy clay loam"
"NTABRT0006","NT",20120324,-22.28908,133.6133,2012-03-24,22,283.691,22.9152,41.989,2.48771,22.688,"WET",6.9,NA,"Clayey sand"
"NTABRT0006","NT",20200808,-22.28908,133.6133,2020-08-08 11:29:33,44,283.691,22.9152,41.989,2.48771,22.688,"DRY",5.95,0.0264,"Clay loam sandy& Sandy clay loam"
"NTABRT0007","NT",20200807,-22.28835,133.6381,2020-08-07 13:59:44,24,281.912,22.9145,41.9854,2.47726,22.6822,"DRY",6.05,0.011,"Clayey sand& Sandy clay loam"
"NTABRT0008","NT",20200809,-21.90425,133.4484,2020-08-09 15:55:26,16,318.08,22.8844,41.0062,3.17914,22.4492,"DRY",4.45,0.0395,"Clayey sand"
"NTADAC0001","NT",20130528,-13.15835,130.7779,2013-05-28,28,1599.02,21.4746,37.0926,11.9845,26.5628,"DRY",5.56,0.12,NA
"NTADAC0002","NT",20160506,-12.73922,132.3403,2016-05-06 09:17:06,39,1389.68,21.6477,38.3618,14.0164,27.9464,"WET",5.35,0.05,"Clayey sand& Sand"
"NTADMR0001","NT",20200803,-19.3531,134.5674,2020-08-03 17:22:18,18,363.089,23.1387,42.1803,8.43615,26.2988,"DRY",5.6,0.0181666666666667,"Sandy clay loam"
"NTADMR0002","NT",20200804,-19.57508,134.2031,2020-08-04 10:54:06,15,395.208,22.9782,41.6883,8.60977,25.956,"DRY",5.7,0.041,"Medium clay"
"NTAFIN0001","NT",20111020,-24.1243,133.4679,2011-10-20 12:00:00,33,245.369,22.5388,41.8826,0.611772,21.4207,"DRY",6.8,0.105,"Loamy sand"
"NTAFIN0001","NT",20160304,-24.1243,133.4679,2016-03-04,24,245.369,22.5388,41.8826,0.611772,21.4207,"DRY",NA,NA,NA
"NTAFIN0001","NT",20190526,-24.1243,133.4679,2019-05-26 15:22:10,25,245.369,22.5388,41.8826,0.611772,21.4207,"DRY",NA,NA,NA
"NTAFIN0002","NT",20110923,-24.00942,133.4343,2011-09-23,33,260.411,22.5283,41.7347,0.594045,21.3329,"DRY",6.525,0.02,"Clayey sand"
"NTAFIN0002","NT",20160305,-24.00942,133.4343,2016-03-05,32,260.411,22.5283,41.7347,0.594045,21.3329,"DRY",NA,NA,NA
"NTAFIN0002","NT",20190528,-24.00942,133.4343,2019-05-28 11:50:00,30,260.411,22.5283,41.7347,0.594045,21.3329,"DRY",NA,NA,NA
"NTAFIN0003","NT",20110924,-24.1322,133.477,2011-09-24,13,246.155,22.5382,41.9042,0.615831,21.4348,"DRY",6,0.02,"Sand"
"NTAFIN0003","NT",20160304,-24.1322,133.477,2016-03-04,16,246.155,22.5382,41.9042,0.615831,21.4348,"DRY",NA,NA,NA
"NTAFIN0003","NT",20190525,-24.1322,133.477,2019-05-25 14:16:31,16,246.155,22.5382,41.9042,0.615831,21.4348,"DRY",NA,NA,NA
"NTAFIN0004","NT",20111006,-24.18724,133.3764,2011-10-06,25,243.097,22.5106,41.6372,0.515559,21.1994,"WET",4.8,0.43,"Loamy sand"
"NTAFIN0004","NT",20160302,-24.18724,133.3764,2016-03-02,18,243.097,22.5106,41.6372,0.515559,21.1994,"DRY",NA,NA,NA
"NTAFIN0004","NT",20190526,-24.18724,133.3764,2019-05-26 08:56:27,19,243.097,22.5106,41.6372,0.515559,21.1994,"DRY",NA,NA,NA
"NTAFIN0005","NT",20111005,-24.1965,133.3739,2011-10-05,20,242.84,22.5291,41.9447,0.65489,21.4814,"WET",6.36666666666667,0.02,"Loamy sand"
"NTAFIN0005","NT",20160306,-24.1965,133.3739,2016-03-06,16,242.84,22.5291,41.9447,0.65489,21.4814,"DRY",NA,NA,NA
"NTAFIN0005","NT",20190525,-24.1965,133.3739,2019-05-25 17:36:23,14,242.84,22.5291,41.9447,0.65489,21.4814,"DRY",NA,NA,NA
"NTAFIN0006","NT",20111007,-24.17759,133.3794,2011-10-07,7,243.462,22.5298,41.9273,0.652256,21.472,"WET",6.725,0,"Loamy sand"
"NTAFIN0006","NT",20160306,-24.17759,133.3794,2016-03-06,27,243.462,22.5298,41.9273,0.652256,21.472,"DRY",NA,NA,NA
"NTAFIN0006","NT",20190526,-24.17759,133.3794,2019-05-26 17:34:12,22,243.462,22.5298,41.9273,0.652256,21.472,"DRY",NA,NA,NA
"NTAFIN0007","NT",20111012,-23.94119,133.436,2011-10-12,20,260.745,22.5295,41.5519,0.535102,21.1847,"WET",7.8,0.4,"Clayey sand& Sandy loam"
"NTAFIN0007","NT",20160302,-23.94119,133.436,2016-03-02,22,260.745,22.5295,41.5519,0.535102,21.1847,"DRY",NA,NA,NA
"NTAFIN0007","NT",20190528,-23.94119,133.436,2019-05-28 15:32:25,23,260.745,22.5295,41.5519,0.535102,21.1847,"DRY",NA,NA,NA
"NTAFIN0008","NT",20111013,-23.93063,133.4155,2011-10-13,8,259.834,22.5386,41.6631,0.602557,21.2986,"WET",6.78,0.04,"Sand"
"NTAFIN0008","NT",20160303,-23.93063,133.4155,2016-03-03 09:56:02,17,259.834,22.5386,41.6631,0.602557,21.2986,"DRY",NA,NA,NA
"NTAFIN0008","NT",20190530,-23.93063,133.4155,2019-05-30 09:09:34,13,259.834,22.5386,41.6631,0.602557,21.2986,"DRY",NA,NA,NA
"NTAFIN0009","NT",20111017,-24.12802,133.3909,2011-10-17,13,246.393,22.5251,41.7726,0.588247,21.3396,"WET",6.23333333333333,0,"Clayey sand& Loamy sand& Sand"
"NTAFIN0009","NT",20160306,-24.12802,133.3909,2016-03-06,31,246.393,22.5251,41.7726,0.588247,21.3396,"WET",NA,NA,NA
"NTAFIN0009","NT",20190527,-24.12802,133.3909,2019-05-27 15:48:13,22,246.393,22.5251,41.7726,0.588247,21.3396,"DRY",NA,NA,NA
"NTAFIN0010","NT",20111018,-24.13329,133.3733,2011-10-18,19,245.959,22.5291,41.8803,0.64268,21.4423,"WET",6.975,0.0625,"Sand"
"NTAFIN0010","NT",20160307,-24.13329,133.3733,2016-03-07,33,245.959,22.5291,41.8803,0.64268,21.4423,"WET",NA,NA,NA
"NTAFIN0010","NT",20190527,-24.13329,133.3733,2019-05-27 13:35:17,30,245.959,22.5291,41.8803,0.64268,21.4423,"DRY",NA,NA,NA
"NTAFIN0011","NT",20111020,-24.16188,133.3272,2011-10-20,23,248.579,22.4944,41.5442,0.4961,21.1349,"WET",5.93333333333333,0.0133333333333333,"Clayey sand"
"NTAFIN0011","NT",20160306,-24.16188,133.3272,2016-03-06,28,248.579,22.4944,41.5442,0.4961,21.1349,"DRY",NA,NA,NA
"NTAFIN0011","NT",20190527,-24.16188,133.3272,2019-05-27 10:16:22,24,248.579,22.4944,41.5442,0.4961,21.1349,"DRY",NA,NA,NA
"NTAFIN0012","NT",20111104,-24.56923,133.1421,2011-11-04,12,219.784,22.5235,42.3511,0.798202,21.7767,"WET",7.75,2.0225,"Clay loam"
"NTAFIN0013","NT",20111105,-24.54154,133.1846,2011-11-05,33,215.247,22.5443,42.502,0.880087,21.9205,"WET",7.3,0.35,"Sandy clay loam"
"NTAFIN0014","NT",20111107,-24.53091,133.1695,2011-11-07,20,215.547,22.5417,42.4717,0.859288,21.8965,"WET",6.975,0.0375,"Sandy loam"
"NTAFIN0015","NT",20111108,-24.5157,133.2228,2011-11-08,9,215.708,22.5501,42.494,0.882602,21.9179,"WET",7.4,0.17,"Sand"
"NTAFIN0016","NT",20111109,-24.48436,133.303,2011-11-09,13,220.911,22.5361,42.2234,0.762271,21.6645,"WET",9.16666666666667,0.163333333333333,"Sandy loam"
"NTAFIN0017","NT",20111129,-24.37749,132.9603,2011-11-29,9,227.286,22.5327,42.4641,0.838657,21.9694,"WET",7.85,0.055,"Sand"
