"siteName","stateCode","siteVisitName","taxonFamily","latitude_Degree","longitude_Degree","siteVisitStartDate","abundance","precipitationAnnualMean_millimetre","solarRadiationMean_megajoulePerSquareMetre","maximumTemperature_degreeCelsius","minimumTemperature_degreeCelsius","temperatureAnnualMean_degreeCelsius","climaticCondition","average_soil_pH_unitless","average_soil_EC_dSPerMetre","soil_texture_Grade"
"NSABBS0003","NSW",20180513,"Cupressaceae",-30.45465,149.2268,2018-05-13 15:25:40,173,568.074,19.8216,39.4243,-0.036467,19.226,"DRY",5.76,0.0716,"Clayey sand& Loamy sand"
"NSABBS0003","NSW",20180513,"Fabaceae",-30.45465,149.2268,2018-05-13 15:25:40,59,568.074,19.8216,39.4243,-0.036467,19.226,"DRY",5.76,0.0716,"Clayey sand& Loamy sand"
"NSABBS0003","NSW",20180513,"Lamiaceae",-30.45465,149.2268,2018-05-13 15:25:40,13,568.074,19.8216,39.4243,-0.036467,19.226,"DRY",5.76,0.0716,"Clayey sand& Loamy sand"
"NSABBS0003","NSW",20180513,"Myrtaceae",-30.45465,149.2268,2018-05-13 15:25:40,225,568.074,19.8216,39.4243,-0.036467,19.226,"DRY",5.76,0.0716,"Clayey sand& Loamy sand"
"NSABBS0003","NSW",20180513,"Poaceae",-30.45465,149.2268,2018-05-13 15:25:40,1,568.074,19.8216,39.4243,-0.036467,19.226,"DRY",5.76,0.0716,"Clayey sand& Loamy sand"
"NSABBS0003","NSW",20180513,"Zamiaceae",-30.45465,149.2268,2018-05-13 15:25:40,2,568.074,19.8216,39.4243,-0.036467,19.226,"DRY",5.76,0.0716,"Clayey sand& Loamy sand"
"NSABBS0004","NSW",20180514,"Asteraceae",-30.46096,149.2469,2018-05-14 11:40:15,5,570.194,19.8125,39.4037,-0.0480058,19.2077,"DRY",6.54166666666667,0.171833333333333,"Clayey sand"
"NSABBS0004","NSW",20180514,"Casuarinaceae",-30.46096,149.2469,2018-05-14 11:40:15,230,570.194,19.8125,39.4037,-0.0480058,19.2077,"DRY",6.54166666666667,0.171833333333333,"Clayey sand"
"NSABBS0004","NSW",20180514,"Cupressaceae",-30.46096,149.2469,2018-05-14 11:40:15,296,570.194,19.8125,39.4037,-0.0480058,19.2077,"DRY",6.54166666666667,0.171833333333333,"Clayey sand"
"NSABBS0004","NSW",20180514,"Fabaceae",-30.46096,149.2469,2018-05-14 11:40:15,35,570.194,19.8125,39.4037,-0.0480058,19.2077,"DRY",6.54166666666667,0.171833333333333,"Clayey sand"
"NSABBS0004","NSW",20180514,"Myrtaceae",-30.46096,149.2469,2018-05-14 11:40:15,344,570.194,19.8125,39.4037,-0.0480058,19.2077,"DRY",6.54166666666667,0.171833333333333,"Clayey sand"
"NSABBS0004","NSW",20180514,"Poaceae",-30.46096,149.2469,2018-05-14 11:40:15,3,570.194,19.8125,39.4037,-0.0480058,19.2077,"DRY",6.54166666666667,0.171833333333333,"Clayey sand"
"NSABBS0005","NSW",20180515,"Asteraceae",-30.49878,149.28,2018-05-15 09:52:21,1,574.432,19.7924,39.3493,-0.0928283,19.1466,"DRY",6.74666666666667,0.1305,"Loamy sand"
"NSABBS0005","NSW",20180515,"Casuarinaceae",-30.49878,149.28,2018-05-15 09:52:21,266,574.432,19.7924,39.3493,-0.0928283,19.1466,"DRY",6.74666666666667,0.1305,"Loamy sand"
"NSABBS0005","NSW",20180515,"Cupressaceae",-30.49878,149.28,2018-05-15 09:52:21,211,574.432,19.7924,39.3493,-0.0928283,19.1466,"DRY",6.74666666666667,0.1305,"Loamy sand"
"NSABBS0005","NSW",20180515,"Loranthaceae",-30.49878,149.28,2018-05-15 09:52:21,2,574.432,19.7924,39.3493,-0.0928283,19.1466,"DRY",6.74666666666667,0.1305,"Loamy sand"
"NSABBS0005","NSW",20180515,"Myrtaceae",-30.49878,149.28,2018-05-15 09:52:21,234,574.432,19.7924,39.3493,-0.0928283,19.1466,"DRY",6.74666666666667,0.1305,"Loamy sand"
"NSABBS0005","NSW",20180515,"Poaceae",-30.49878,149.28,2018-05-15 09:52:21,1,574.432,19.7924,39.3493,-0.0928283,19.1466,"DRY",6.74666666666667,0.1305,"Loamy sand"
"NSABBS0005","NSW",20180515,"Rutaceae",-30.49878,149.28,2018-05-15 09:52:21,3,574.432,19.7924,39.3493,-0.0928283,19.1466,"DRY",6.74666666666667,0.1305,"Loamy sand"
"NSABBS0006","NSW",20180515,"Asteraceae",-30.51027,149.2673,2018-05-15 15:49:17,3,575.211,19.785,39.3064,-0.141986,19.0872,"DRY",6.256,0.075,"Loamy sand"
"NSABBS0006","NSW",20180515,"Casuarinaceae",-30.51027,149.2673,2018-05-15 15:49:17,234,575.211,19.785,39.3064,-0.141986,19.0872,"DRY",6.256,0.075,"Loamy sand"
"NSABBS0006","NSW",20180515,"Cupressaceae",-30.51027,149.2673,2018-05-15 15:49:17,303,575.211,19.785,39.3064,-0.141986,19.0872,"DRY",6.256,0.075,"Loamy sand"
"NSABBS0006","NSW",20180515,"Fabaceae",-30.51027,149.2673,2018-05-15 15:49:17,59,575.211,19.785,39.3064,-0.141986,19.0872,"DRY",6.256,0.075,"Loamy sand"
"NSABBS0006","NSW",20180515,"Myrtaceae",-30.51027,149.2673,2018-05-15 15:49:17,340,575.211,19.785,39.3064,-0.141986,19.0872,"DRY",6.256,0.075,"Loamy sand"
"NSABBS0006","NSW",20180515,"Poaceae",-30.51027,149.2673,2018-05-15 15:49:17,2,575.211,19.785,39.3064,-0.141986,19.0872,"DRY",6.256,0.075,"Loamy sand"
"NSABBS0006","NSW",20180515,"Scrophulariaceae",-30.51027,149.2673,2018-05-15 15:49:17,12,575.211,19.785,39.3064,-0.141986,19.0872,"DRY",6.256,0.075,"Loamy sand"
"NSABHC0001","NSW",20120529,"Aizoaceae",-31.89335,141.4338,2012-05-29,46,245.906,20.1688,38.4455,1.47027,18.0535,NA,NA,NA,NA
"NSABHC0001","NSW",20120529,"Asteraceae",-31.89335,141.4338,2012-05-29,22,245.906,20.1688,38.4455,1.47027,18.0535,NA,NA,NA,NA
"NSABHC0001","NSW",20120529,"Chenopodiaceae",-31.89335,141.4338,2012-05-29,127,245.906,20.1688,38.4455,1.47027,18.0535,NA,NA,NA,NA
"NSABHC0001","NSW",20120529,"Malvaceae",-31.89335,141.4338,2012-05-29,42,245.906,20.1688,38.4455,1.47027,18.0535,NA,NA,NA,NA
"NSABHC0001","NSW",20120529,"Poaceae",-31.89335,141.4338,2012-05-29,34,245.906,20.1688,38.4455,1.47027,18.0535,NA,NA,NA,NA
"NSABHC0002","NSW",20120531,"Aizoaceae",-31.92703,141.433,2012-05-31,51,250.182,20.1487,38.3832,1.47552,18.0134,NA,NA,NA,NA
"NSABHC0002","NSW",20120531,"Apocynaceae",-31.92703,141.433,2012-05-31,1,250.182,20.1487,38.3832,1.47552,18.0134,NA,NA,NA,NA
"NSABHC0002","NSW",20120531,"Asteraceae",-31.92703,141.433,2012-05-31,39,250.182,20.1487,38.3832,1.47552,18.0134,NA,NA,NA,NA
"NSABHC0002","NSW",20120531,"Chenopodiaceae",-31.92703,141.433,2012-05-31,123,250.182,20.1487,38.3832,1.47552,18.0134,NA,NA,NA,NA
"NSABHC0002","NSW",20120531,"Fabaceae",-31.92703,141.433,2012-05-31,2,250.182,20.1487,38.3832,1.47552,18.0134,NA,NA,NA,NA
"NSABHC0002","NSW",20120531,"Malvaceae",-31.92703,141.433,2012-05-31,35,250.182,20.1487,38.3832,1.47552,18.0134,NA,NA,NA,NA
"NSABHC0002","NSW",20120531,"Poaceae",-31.92703,141.433,2012-05-31,62,250.182,20.1487,38.3832,1.47552,18.0134,NA,NA,NA,NA
"NSABHC0003","NSW",20120604,"Asteraceae",-31.82872,141.434,2012-06-04,11,234.137,20.2304,38.7322,1.52699,18.2765,NA,NA,NA,NA
"NSABHC0003","NSW",20120604,"Chenopodiaceae",-31.82872,141.434,2012-06-04,230,234.137,20.2304,38.7322,1.52699,18.2765,NA,NA,NA,NA
"NSABHC0003","NSW",20120604,"Convolvulaceae",-31.82872,141.434,2012-06-04,1,234.137,20.2304,38.7322,1.52699,18.2765,NA,NA,NA,NA
"NSABHC0003","NSW",20120604,"Fabaceae",-31.82872,141.434,2012-06-04,4,234.137,20.2304,38.7322,1.52699,18.2765,NA,NA,NA,NA
"NSABHC0003","NSW",20120604,"Malvaceae",-31.82872,141.434,2012-06-04,1,234.137,20.2304,38.7322,1.52699,18.2765,NA,NA,NA,NA
"NSABHC0003","NSW",20120604,"Poaceae",-31.82872,141.434,2012-06-04,7,234.137,20.2304,38.7322,1.52699,18.2765,NA,NA,NA,NA
"NSABHC0003","NSW",20120604,"Scrophulariaceae",-31.82872,141.434,2012-06-04,4,234.137,20.2304,38.7322,1.52699,18.2765,NA,NA,NA,NA
"NSABHC0004","NSW",20120606,"Aizoaceae",-31.84728,141.9481,2012-06-06,1,209.803,20.3576,39.7843,1.75084,19.0379,NA,NA,NA,NA
"NSABHC0004","NSW",20120606,"Apiaceae",-31.84728,141.9481,2012-06-06,2,209.803,20.3576,39.7843,1.75084,19.0379,NA,NA,NA,NA
"NSABHC0004","NSW",20120606,"Asteraceae",-31.84728,141.9481,2012-06-06,9,209.803,20.3576,39.7843,1.75084,19.0379,NA,NA,NA,NA
"NSABHC0004","NSW",20120606,"Boraginaceae",-31.84728,141.9481,2012-06-06,14,209.803,20.3576,39.7843,1.75084,19.0379,NA,NA,NA,NA
"NSABHC0004","NSW",20120606,"Brassicaceae",-31.84728,141.9481,2012-06-06,30,209.803,20.3576,39.7843,1.75084,19.0379,NA,NA,NA,NA
"NSABHC0004","NSW",20120606,"Campanulaceae",-31.84728,141.9481,2012-06-06,2,209.803,20.3576,39.7843,1.75084,19.0379,NA,NA,NA,NA
"NSABHC0004","NSW",20120606,"Chenopodiaceae",-31.84728,141.9481,2012-06-06,104,209.803,20.3576,39.7843,1.75084,19.0379,NA,NA,NA,NA
"NSABHC0004","NSW",20120606,"Convolvulaceae",-31.84728,141.9481,2012-06-06,16,209.803,20.3576,39.7843,1.75084,19.0379,NA,NA,NA,NA
"NSABHC0004","NSW",20120606,"Cyperaceae",-31.84728,141.9481,2012-06-06,2,209.803,20.3576,39.7843,1.75084,19.0379,NA,NA,NA,NA
"NSABHC0004","NSW",20120606,"Euphorbiaceae",-31.84728,141.9481,2012-06-06,2,209.803,20.3576,39.7843,1.75084,19.0379,NA,NA,NA,NA
"NSABHC0004","NSW",20120606,"Fabaceae",-31.84728,141.9481,2012-06-06,27,209.803,20.3576,39.7843,1.75084,19.0379,NA,NA,NA,NA
"NSABHC0004","NSW",20120606,"Haloragaceae",-31.84728,141.9481,2012-06-06,3,209.803,20.3576,39.7843,1.75084,19.0379,NA,NA,NA,NA
"NSABHC0004","NSW",20120606,"Lamiaceae",-31.84728,141.9481,2012-06-06,1,209.803,20.3576,39.7843,1.75084,19.0379,NA,NA,NA,NA
"NSABHC0004","NSW",20120606,"Malvaceae",-31.84728,141.9481,2012-06-06,32,209.803,20.3576,39.7843,1.75084,19.0379,NA,NA,NA,NA
"NSABHC0004","NSW",20120606,"Nyctaginaceae",-31.84728,141.9481,2012-06-06,6,209.803,20.3576,39.7843,1.75084,19.0379,NA,NA,NA,NA
"NSABHC0004","NSW",20120606,"Poaceae",-31.84728,141.9481,2012-06-06,118,209.803,20.3576,39.7843,1.75084,19.0379,NA,NA,NA,NA
"NSABHC0004","NSW",20120606,"Scrophulariaceae",-31.84728,141.9481,2012-06-06,2,209.803,20.3576,39.7843,1.75084,19.0379,NA,NA,NA,NA
"NSABHC0005","NSW",20120730,"Asteraceae",-31.84496,141.9405,2012-07-30,14,209.803,20.3576,39.7843,1.75084,19.0379,NA,NA,NA,NA
"NSABHC0005","NSW",20120730,"Brassicaceae",-31.84496,141.9405,2012-07-30,14,209.803,20.3576,39.7843,1.75084,19.0379,NA,NA,NA,NA
"NSABHC0005","NSW",20120730,"Chenopodiaceae",-31.84496,141.9405,2012-07-30,7,209.803,20.3576,39.7843,1.75084,19.0379,NA,NA,NA,NA
"NSABHC0005","NSW",20120730,"Malvaceae",-31.84496,141.9405,2012-07-30,61,209.803,20.3576,39.7843,1.75084,19.0379,NA,NA,NA,NA
"NSABHC0005","NSW",20120730,"Poaceae",-31.84496,141.9405,2012-07-30,387,209.803,20.3576,39.7843,1.75084,19.0379,NA,NA,NA,NA
"NSABHC0006","NSW",20120801,"Asteraceae",-31.88421,141.7823,2012-08-01,14,211.36,20.2781,39.3434,1.66945,18.7315,NA,NA,NA,NA
"NSABHC0006","NSW",20120801,"Chenopodiaceae",-31.88421,141.7823,2012-08-01,165,211.36,20.2781,39.3434,1.66945,18.7315,NA,NA,NA,NA
"NSABHC0006","NSW",20120801,"Convolvulaceae",-31.88421,141.7823,2012-08-01,1,211.36,20.2781,39.3434,1.66945,18.7315,NA,NA,NA,NA
"NSABHC0006","NSW",20120801,"Cyperaceae",-31.88421,141.7823,2012-08-01,23,211.36,20.2781,39.3434,1.66945,18.7315,NA,NA,NA,NA
"NSABHC0006","NSW",20120801,"Fabaceae",-31.88421,141.7823,2012-08-01,1,211.36,20.2781,39.3434,1.66945,18.7315,NA,NA,NA,NA
"NSABHC0006","NSW",20120801,"Goodeniaceae",-31.88421,141.7823,2012-08-01,2,211.36,20.2781,39.3434,1.66945,18.7315,NA,NA,NA,NA
"NSABHC0006","NSW",20120801,"Malvaceae",-31.88421,141.7823,2012-08-01,33,211.36,20.2781,39.3434,1.66945,18.7315,NA,NA,NA,NA
"NSABHC0006","NSW",20120801,"Poaceae",-31.88421,141.7823,2012-08-01,275,211.36,20.2781,39.3434,1.66945,18.7315,NA,NA,NA,NA
"NSABHC0007","NSW",20120802,"Apiaceae",-31.90113,141.7644,2012-08-02,1,212.194,20.2674,39.3363,1.69024,18.7409,NA,NA,NA,NA
"NSABHC0007","NSW",20120802,"Asteraceae",-31.90113,141.7644,2012-08-02,15,212.194,20.2674,39.3363,1.69024,18.7409,NA,NA,NA,NA
"NSABHC0007","NSW",20120802,"Brassicaceae",-31.90113,141.7644,2012-08-02,4,212.194,20.2674,39.3363,1.69024,18.7409,NA,NA,NA,NA
"NSABHC0007","NSW",20120802,"Chenopodiaceae",-31.90113,141.7644,2012-08-02,200,212.194,20.2674,39.3363,1.69024,18.7409,NA,NA,NA,NA
"NSABHC0007","NSW",20120802,"Euphorbiaceae",-31.90113,141.7644,2012-08-02,1,212.194,20.2674,39.3363,1.69024,18.7409,NA,NA,NA,NA
"NSABHC0007","NSW",20120802,"Fabaceae",-31.90113,141.7644,2012-08-02,10,212.194,20.2674,39.3363,1.69024,18.7409,NA,NA,NA,NA
"NSABHC0007","NSW",20120802,"Malvaceae",-31.90113,141.7644,2012-08-02,32,212.194,20.2674,39.3363,1.69024,18.7409,NA,NA,NA,NA
"NSABHC0007","NSW",20120802,"Poaceae",-31.90113,141.7644,2012-08-02,160,212.194,20.2674,39.3363,1.69024,18.7409,NA,NA,NA,NA
"NSABHC0008","NSW",20120831,"Aizoaceae",-31.88592,141.5288,2012-08-31,25,228.518,20.217,38.9233,1.64077,18.4713,NA,NA,NA,NA
"NSABHC0008","NSW",20120831,"Asteraceae",-31.88592,141.5288,2012-08-31,41,228.518,20.217,38.9233,1.64077,18.4713,NA,NA,NA,NA
"NSABHC0008","NSW",20120831,"Campanulaceae",-31.88592,141.5288,2012-08-31,3,228.518,20.217,38.9233,1.64077,18.4713,NA,NA,NA,NA
"NSABHC0008","NSW",20120831,"Chenopodiaceae",-31.88592,141.5288,2012-08-31,183,228.518,20.217,38.9233,1.64077,18.4713,NA,NA,NA,NA
"NSABHC0008","NSW",20120831,"Fabaceae",-31.88592,141.5288,2012-08-31,2,228.518,20.217,38.9233,1.64077,18.4713,NA,NA,NA,NA
"NSABHC0008","NSW",20120831,"Malvaceae",-31.88592,141.5288,2012-08-31,7,228.518,20.217,38.9233,1.64077,18.4713,NA,NA,NA,NA
"NSABHC0008","NSW",20120831,"Poaceae",-31.88592,141.5288,2012-08-31,67,228.518,20.217,38.9233,1.64077,18.4713,NA,NA,NA,NA
"NSABHC0008","NSW",20120831,"Scrophulariaceae",-31.88592,141.5288,2012-08-31,2,228.518,20.217,38.9233,1.64077,18.4713,NA,NA,NA,NA
"NSABHC0009","NSW",20120903,"Aizoaceae",-31.08023,141.6974,2012-09-03,1,207.651,20.7765,40.6051,1.72848,19.5869,NA,NA,NA,NA
"NSABHC0009","NSW",20120903,"Amaranthaceae",-31.08023,141.6974,2012-09-03,1,207.651,20.7765,40.6051,1.72848,19.5869,NA,NA,NA,NA
"NSABHC0009","NSW",20120903,"Apiaceae",-31.08023,141.6974,2012-09-03,1,207.651,20.7765,40.6051,1.72848,19.5869,NA,NA,NA,NA
"NSABHC0009","NSW",20120903,"Asteraceae",-31.08023,141.6974,2012-09-03,51,207.651,20.7765,40.6051,1.72848,19.5869,NA,NA,NA,NA
"NSABHC0009","NSW",20120903,"Brassicaceae",-31.08023,141.6974,2012-09-03,1,207.651,20.7765,40.6051,1.72848,19.5869,NA,NA,NA,NA
"NSABHC0009","NSW",20120903,"Campanulaceae",-31.08023,141.6974,2012-09-03,1,207.651,20.7765,40.6051,1.72848,19.5869,NA,NA,NA,NA
"NSABHC0009","NSW",20120903,"Chenopodiaceae",-31.08023,141.6974,2012-09-03,166,207.651,20.7765,40.6051,1.72848,19.5869,NA,NA,NA,NA
"NSABHC0009","NSW",20120903,"Convolvulaceae",-31.08023,141.6974,2012-09-03,1,207.651,20.7765,40.6051,1.72848,19.5869,NA,NA,NA,NA
"NSABHC0009","NSW",20120903,"Euphorbiaceae",-31.08023,141.6974,2012-09-03,1,207.651,20.7765,40.6051,1.72848,19.5869,NA,NA,NA,NA
"NSABHC0009","NSW",20120903,"Fabaceae",-31.08023,141.6974,2012-09-03,6,207.651,20.7765,40.6051,1.72848,19.5869,NA,NA,NA,NA
"NSABHC0009","NSW",20120903,"Malvaceae",-31.08023,141.6974,2012-09-03,21,207.651,20.7765,40.6051,1.72848,19.5869,NA,NA,NA,NA
"NSABHC0009","NSW",20120903,"Poaceae",-31.08023,141.6974,2012-09-03,172,207.651,20.7765,40.6051,1.72848,19.5869,NA,NA,NA,NA
"NSABHC0009","NSW",20160913,"Apiaceae",-31.08023,141.6974,2016-09-13 11:11:06,16,207.651,20.7765,40.6051,1.72848,19.5869,"WET",NA,NA,NA
"NSABHC0009","NSW",20160913,"Asteraceae",-31.08023,141.6974,2016-09-13 11:11:06,155,207.651,20.7765,40.6051,1.72848,19.5869,"WET",NA,NA,NA
"NSABHC0009","NSW",20160913,"Brassicaceae",-31.08023,141.6974,2016-09-13 11:11:06,2,207.651,20.7765,40.6051,1.72848,19.5869,"WET",NA,NA,NA
"NSABHC0009","NSW",20160913,"Casuarinaceae",-31.08023,141.6974,2016-09-13 11:11:06,4,207.651,20.7765,40.6051,1.72848,19.5869,"WET",NA,NA,NA
"NSABHC0009","NSW",20160913,"Chenopodiaceae",-31.08023,141.6974,2016-09-13 11:11:06,206,207.651,20.7765,40.6051,1.72848,19.5869,"WET",NA,NA,NA
"NSABHC0009","NSW",20160913,"Crassulaceae",-31.08023,141.6974,2016-09-13 11:11:06,28,207.651,20.7765,40.6051,1.72848,19.5869,"WET",NA,NA,NA
"NSABHC0009","NSW",20160913,"Fabaceae",-31.08023,141.6974,2016-09-13 11:11:06,31,207.651,20.7765,40.6051,1.72848,19.5869,"WET",NA,NA,NA
"NSABHC0009","NSW",20160913,"Geraniaceae",-31.08023,141.6974,2016-09-13 11:11:06,5,207.651,20.7765,40.6051,1.72848,19.5869,"WET",NA,NA,NA
"NSABHC0009","NSW",20160913,"Goodeniaceae",-31.08023,141.6974,2016-09-13 11:11:06,1,207.651,20.7765,40.6051,1.72848,19.5869,"WET",NA,NA,NA
"NSABHC0009","NSW",20160913,"Linaceae",-31.08023,141.6974,2016-09-13 11:11:06,1,207.651,20.7765,40.6051,1.72848,19.5869,"WET",NA,NA,NA
"NSABHC0009","NSW",20160913,"Oxalidaceae",-31.08023,141.6974,2016-09-13 11:11:06,1,207.651,20.7765,40.6051,1.72848,19.5869,"WET",NA,NA,NA
"NSABHC0009","NSW",20160913,"Plantaginaceae",-31.08023,141.6974,2016-09-13 11:11:06,41,207.651,20.7765,40.6051,1.72848,19.5869,"WET",NA,NA,NA
"NSABHC0009","NSW",20160913,"Poaceae",-31.08023,141.6974,2016-09-13 11:11:06,73,207.651,20.7765,40.6051,1.72848,19.5869,"WET",NA,NA,NA
"NSABHC0009","NSW",20160913,"Portulacaceae",-31.08023,141.6974,2016-09-13 11:11:06,59,207.651,20.7765,40.6051,1.72848,19.5869,"WET",NA,NA,NA
"NSABHC0010","NSW",20120904,"Aizoaceae",-31.07672,141.7003,2012-09-04,3,207.794,20.7783,40.5534,1.70047,19.5335,NA,NA,NA,NA
"NSABHC0010","NSW",20120904,"Asteraceae",-31.07672,141.7003,2012-09-04,7,207.794,20.7783,40.5534,1.70047,19.5335,NA,NA,NA,NA
"NSABHC0010","NSW",20120904,"Chenopodiaceae",-31.07672,141.7003,2012-09-04,86,207.794,20.7783,40.5534,1.70047,19.5335,NA,NA,NA,NA
"NSABHC0010","NSW",20120904,"Euphorbiaceae",-31.07672,141.7003,2012-09-04,3,207.794,20.7783,40.5534,1.70047,19.5335,NA,NA,NA,NA
"NSABHC0010","NSW",20120904,"Fabaceae",-31.07672,141.7003,2012-09-04,13,207.794,20.7783,40.5534,1.70047,19.5335,NA,NA,NA,NA
"NSABHC0010","NSW",20120904,"Malvaceae",-31.07672,141.7003,2012-09-04,5,207.794,20.7783,40.5534,1.70047,19.5335,NA,NA,NA,NA
"NSABHC0010","NSW",20120904,"Poaceae",-31.07672,141.7003,2012-09-04,34,207.794,20.7783,40.5534,1.70047,19.5335,NA,NA,NA,NA
"NSABHC0011","NSW",20120918,"Asteraceae",-31.02532,141.6781,2012-09-18,15,213.547,20.788,40.3697,1.61853,19.357,NA,NA,NA,NA
"NSABHC0011","NSW",20120918,"Chenopodiaceae",-31.02532,141.6781,2012-09-18,190,213.547,20.788,40.3697,1.61853,19.357,NA,NA,NA,NA
"NSABHC0011","NSW",20120918,"Fabaceae",-31.02532,141.6781,2012-09-18,3,213.547,20.788,40.3697,1.61853,19.357,NA,NA,NA,NA
